,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,range,CV,missing_pct,constant
clini_NP3HMOVL,4757.0,0.843809123397099,0.9306199244557113,0.0,0.0,1.0,1.0,4.0,0.8046719370225737,-0.307471949792931,4.0,1.1028796663268108,45.95546466712111,False
clini_NP3PRSPR,4757.0,0.7830565482446921,0.8992701411428943,0.0,0.0,1.0,1.0,4.0,0.9064273816820677,-0.05288321060022616,4.0,1.1484102178299995,45.95546466712111,False
clini_NP3PRSPL,4757.0,0.8496951860416229,0.9591676262926916,0.0,0.0,1.0,1.0,4.0,0.8715262778782042,-0.17193996296363023,4.0,1.1288373078363023,45.95546466712111,False
clini_NP3TTAPR,4757.0,0.8787050662182048,0.95998721159567,0.0,0.0,1.0,1.0,4.0,0.840350074746703,-0.15326777924865942,4.0,1.0925021927178473,45.95546466712111,False
clini_NP3TTAPL,4757.0,1.0199705696867774,1.014518533332091,0.0,0.0,1.0,2.0,4.0,0.6332865799242702,-0.6047653601740608,4.0,0.9946547120900159,45.95546466712111,False
clini_NP3LGAGR,4757.0,0.5040992221988648,0.7384049116398655,0.0,0.0,0.0,1.0,4.0,1.4310231681641854,1.6507780678015451,4.0,1.4648007358927608,45.95546466712111,False
clini_NP3LGAGL,4757.0,0.606684885431995,0.8346354669103991,0.0,0.0,0.0,1.0,4.0,1.3131786171523658,1.1552732983036278,4.0,1.3757314331575776,45.95546466712111,False
clini_NP3RISNG,4757.0,0.2261929787681312,0.5387851087078466,0.0,0.0,0.0,0.0,4.0,3.0261757317585527,11.637883717611976,4.0,2.381970968516009,45.95546466712111,False
clini_NP3GAIT,4757.0,0.6859365146100483,0.693109962310726,0.0,0.0,1.0,1.0,4.0,0.9678600234496488,1.6433027660252866,4.0,1.010457888664457,45.95546466712111,False
clini_NP3FRZGT,4757.0,0.06264452385957536,0.36144391184056757,0.0,0.0,0.0,0.0,4.0,7.323793328430566,61.798428155400636,4.0,5.769760700085839,45.95546466712111,False
clini_NP3PSTBL,4757.0,0.16691191927685517,0.5408991548620529,0.0,0.0,0.0,0.0,4.0,3.9917609299467234,17.72325710163531,4.0,3.240626296824667,45.95546466712111,False
clini_NP3POSTR,4757.0,0.6546142526802606,0.7917694804998369,0.0,0.0,0.0,1.0,4.0,1.0799417071053368,0.6664421884988054,4.0,1.2095206868136559,45.95546466712111,False
clini_NP3BRADY,4757.0,1.062854740382594,0.8884605562036447,0.0,0.0,1.0,2.0,4.0,0.4006853276535592,-0.634058672150867,4.0,0.8359190794819498,45.95546466712111,False
clini_NP3PTRMR,4757.0,0.37923060752575155,0.65779085640521,0.0,0.0,0.0,1.0,4.0,1.8501056960331708,3.419515472349682,4.0,1.7345405232370197,45.95546466712111,False
clini_NP3PTRML,4757.0,0.3352953542148413,0.5793263231130336,0.0,0.0,0.0,1.0,3.0,1.7094316763924253,2.7228922995307596,3.0,1.7278089774600003,45.95546466712111,False
clini_NP3KTRMR,4757.0,0.3195291149884381,0.5503106671375212,0.0,0.0,0.0,1.0,3.0,1.5627416922455915,1.7350586218668416,3.0,1.7222551602455185,45.95546466712111,False
clini_NP3KTRML,4757.0,0.36850956485179737,0.5743689140756434,0.0,0.0,0.0,1.0,3.0,1.3214435665578301,0.8866249835328848,3.0,1.5586268820637967,45.95546466712111,False
clini_NP3RTARU,4757.0,0.6602900988017658,1.0113972880512738,0.0,0.0,0.0,1.0,4.0,1.2383246894569762,0.16536092963927063,4.0,1.5317468638204106,45.95546466712111,False
clini_NP3RTALU,4757.0,0.5150304813958377,0.875584068021144,0.0,0.0,0.0,1.0,4.0,1.5268430757888338,1.1761999368823477,4.0,1.7000626169700332,45.95546466712111,False
clini_NP3RTARL,4757.0,0.20075677948286735,0.5493472836903377,0.0,0.0,0.0,0.0,3.0,2.898092105733627,8.015358053590651,3.0,2.736382228811452,45.95546466712111,False
clini_NP3RTALL,4757.0,0.16249737229346226,0.4860089457796747,0.0,0.0,0.0,0.0,3.0,3.212005693041639,10.221137847590468,3.0,2.990872645632487,45.95546466712111,False
clini_NP3RTALJ,4757.0,0.06222409081353794,0.30539777764457027,0.0,0.0,0.0,0.0,4.0,5.775338325415793,38.938716303093805,4.0,4.908031176537908,45.95546466712111,False
clini_NP3RTCON,4757.0,1.2722303973092286,1.414693828413294,0.0,0.0,1.0,2.0,4.0,0.7093128431125177,-0.9026387529976425,4.0,1.1119792699540711,45.95546466712111,False
NP3TOT,4757.0,20.636115198654615,14.389387818572638,0.0,10.0,20.0,30.0,90.0,0.4653075607204174,0.012071792433980821,90.0,0.6972915047261785,45.95546466712111,False
clini_DYSKPRES,4757.0,0.020601219255833508,0.1420600274935394,0.0,0.0,0.0,0.0,1.0,6.752081202176248,43.608935022987716,1.0,6.895709701905786,45.95546466712111,False
clini_DYSKIRAT,537.0,0.0223463687150838,0.14794515154133195,0.0,0.0,0.0,0.0,1.0,6.481310774182497,40.156936779626264,1.0,6.620545531474605,93.89911383776415,False
NHY,4757.0,1.4834980029430314,1.6802890957125585,0.0,1.0,2.0,2.0,101.0,43.62521512296216,2587.4937170909943,101.0,1.1326534261449115,45.95546466712111,False
clini_priority,4757.0,1.1036367458482237,0.9510636651140962,0.0,0.0,2.0,2.0,2.0,-0.20779246362732826,-1.8626232171971133,2.0,0.8617542580852868,45.95546466712111,False
Geria_GDSSATIS,5603.0,0.9148670355166875,0.2791043639449721,0.0,1.0,1.0,1.0,1.0,-2.9739067493998568,6.846565119444714,1.0,0.30507642434328497,36.344012724380825,False
Geria_GDSDROPD,5603.0,0.1772264858111726,0.3818943414586191,0.0,0.0,0.0,0.0,1.0,1.6909848343354505,0.8597364668706695,1.0,2.154837860214142,36.344012724380825,False
Geria_GDSEMPTY,5602.0,0.05980007140307033,0.23713721992720369,0.0,0.0,0.0,0.0,1.0,3.713943707295916,11.797589654367869,1.0,3.9655006150214778,36.35537377868666,False
Geria_GDSBORED,5602.0,0.1344162799000357,0.341129471629295,0.0,0.0,0.0,0.0,1.0,2.1441377314458885,2.598254100587751,1.0,2.537858300222192,36.35537377868666,False
