Feature,Overall_Mean,Temporal_Variance,Coefficient_of_Variation,Baseline_vs_V04_Shift
Unive_SCENT_22_RESPONSE,1.5195822454308094,0.827720609566716,0.5987116015420003,
Unive_SCENT_23_CORRECT,0.7163398692810458,0.20346302569893576,0.6296854031650623,
Unive_SCENT_23_RESPONSE,2.2483660130718954,0.3989665674297642,0.2809320189859768,
Unive_SCENT_24_CORRECT,0.6883963494132985,0.21478685053495872,0.6732328304698681,
Unive_SCENT_24_RESPONSE,1.7822685788787485,1.5125833585806145,0.690059451092383,
Unive_SCENT_25_CORRECT,0.5104438642297651,0.25021758050478676,0.9799658066982634,
Unive_SCENT_25_RESPONSE,2.3929503916449084,0.8689175583201079,0.3895431674304511,
Unive_SCENT_26_CORRECT,0.5313315926892951,0.24934384545811364,0.9397962049009979,
Unive_SCENT_26_RESPONSE,2.6096605744125325,0.8422072049011075,0.35166200808607073,
Unive_SCENT_27_CORRECT,0.651595744680851,0.227321018783466,0.7317143250066449,
Unive_SCENT_27_RESPONSE,3.139627659574468,1.5770161061846617,0.39998151214438127,
Unive_SCENT_28_CORRECT,0.5163398692810458,0.25005988433767923,0.9684704019626851,
Unive_SCENT_28_RESPONSE,2.433986928104575,0.9868014919754989,0.4081282502157306,
Unive_SCENT_29_CORRECT,0.47843137254901963,0.24986141053279953,1.0447922523500863,
Unive_SCENT_29_RESPONSE,2.3019607843137253,1.1299045272559285,0.4617670643943827,
Unive_SCENT_30_CORRECT,0.5314136125654451,0.24933954560737795,0.9396430520844904,
Unive_SCENT_30_RESPONSE,3.06282722513089,1.2516176843954356,0.36526944651452975,
Unive_SCENT_31_CORRECT,0.7477124183006536,0.18888546692673577,0.5812522919738963,
Unive_SCENT_31_RESPONSE,3.4862745098039216,0.9490914690483522,0.2794424976326904,
Unive_SCENT_32_CORRECT,0.52088772845953,0.2498899298622844,0.959688413513892,
Unive_SCENT_32_RESPONSE,2.5430809399477807,0.9334357241591152,0.37991113799653203,
Unive_SCENT_33_CORRECT,0.6923076923076923,0.21329584253866238,0.6671016857450413,
Unive_SCENT_33_RESPONSE,2.851368970013038,0.544459611725178,0.258779229513806,
Unive_SCENT_34_CORRECT,0.612280701754386,0.2378102549872044,0.7964613727900868,
Unive_SCENT_34_RESPONSE,1.8,1.2569420035149386,0.6228523603658034,
Unive_SCENT_35_CORRECT,0.6091503267973856,0.23839783731991923,0.8015427202028482,
Unive_SCENT_35_RESPONSE,3.275816993464052,1.006286144475242,0.306225332566463,
Unive_SCENT_36_CORRECT,0.39738562091503266,0.2397837319919242,1.2322468288356563,
Unive_SCENT_36_RESPONSE,2.973856209150327,1.0883208431714748,0.3507991299177144,
Unive_SCENT_37_CORRECT,0.7313019390581718,0.19677195031523625,0.6065755073271472,
Unive_SCENT_37_RESPONSE,1.5083102493074791,0.8827325083275384,0.6229079563572253,
Unive_SCENT_38_CORRECT,0.5736636245110821,0.24489295719990065,0.8626424690639272,
Unive_SCENT_38_RESPONSE,3.2972620599739244,0.8749663842375265,0.2836888185185526,
Unive_SCENT_39_CORRECT,0.5731070496083551,0.24497517022474788,0.8636251546245106,
Unive_SCENT_39_RESPONSE,2.2676240208877285,0.8341661120496937,0.4027682448900701,
Unive_SCENT_40_CORRECT,0.7137254901960784,0.20458885124730522,0.6337380370946255,
Unive_SCENT_40_RESPONSE,1.6274509803921569,1.0953187557745612,0.6430760654238193,
Unive_TOTAL_CORRECT,24.38962765957447,69.53773514746295,0.3419047233228668,
Unive_upsitorder,,,,
Unive_UPSITFORM,1.7727272727272727,0.175848209008157,0.23655223107715392,
Unive_UPSIT_PRCNTGE,20.6343085106383,599.4999132362523,1.186600816255661,
Curre_PROJECTID,164.95038705137227,3753.9514271644643,0.37144197984576227,-0.23680497490330724
Kinet_Fmax,53572.87628865979,325020940.2970361,0.3365198659517382,0.18931093794188808
Kinet_TTT,11.605154639175257,25.589452319587625,0.4358926676956165,-0.11063140852671344
Kinet_AUC_Fluoro,3528582247.453608,2.223585821037868e+18,0.42259728560453447,0.07157614444927277
Kinet_Time_To_Max_Slope,12.164948453608247,26.071466924398624,0.4197323673392774,-0.10353143841515934
Kinet_Max_Slope,13.891752577319588,35.496806271477666,0.42888178384789494,0.23172242874845095
Kinet_PROJECTID,299.0,0.0,0.0,0.0
SAA_Fmax_24h_Rep1,115816.4229390681,4899646276.685536,0.6043829673113243,0.054636401453062346
SAA_Fmax_24h_Rep2,110063.21953405018,4570554581.753555,0.6142458590138624,0.0009511694218166675
SAA_Fmax_24h_Rep3,111401.8270609319,4673713455.639123,0.6136754186894755,-0.027582134232627786
SAA_TTT_24h_Rep1,11.176934557979333,8.575512546287131,0.2620036461771374,0.13788267577087462
SAA_TTT_24h_Rep2,11.645920745920744,9.08297120491333,0.25878561898041075,0.16175573472188895
